id;name;activity;description;address;proprio_id
1;Montana;Frozen Utah;Handmade North Human;Buckinghamshire Triple-buffered;1
2;Corners;Czech;Maryland indexing Fields;Industrial Minnesota Pizza;2
3;Riel;AGP Sleek;parsing;transmitting;3
4;Plastic navigating Omani;Tasty;generate Wooden XSS;Fresh alliance;4
5;synergies Digitized incentivize;Car invoice;digital Small Future;Unbranded;5
6;monitor digital Toys;cyan Nepalese Island;Specialist;multi-byte;6
7;Practical index Officer;program;pink Account Boliviano;Shirt granular payment;7
8;Frozen Iraq Trace;AGP;aggregate human-resource invoice;IB indexing;8
9;Profound;Specialist;Indiana end-to-end;Cloned;9
10;Mississippi Grove Gorgeous;lavender Investment quantifying;Usability Car incubate;North;10
