id;date_creation;date_modification;statut;total;id_client_id
1;2023-04-08;2023-04-08;Rustic;84521;1
2;2023-04-08;2023-04-08;Account Card;1653;2
3;2023-04-08;2023-04-08;Concrete Licensed;9725;3
4;2023-04-08;2023-04-08;Clothing;11908;4
5;2023-04-08;2023-04-08;loyalty auxiliary;26734;5
6;2023-04-08;2023-04-07;withdrawal;46662;6
7;2023-04-08;2023-04-08;mesh Ngultrum override;43531;7
8;2023-04-08;2023-04-08;blockchains Portugal database;58296;8
9;2023-04-08;2023-04-07;Automotive;1758;9
10;2023-04-08;2023-04-08;value-added e-business Bedfordshire;42423;10
